Indicateur,ID,Indicateurs_Onglet,Indicateurs_Sous-onglet,Tags objectifs environnementaux,Ordre,Type de graphique,Sous-niveau (graphique),Description,Unité,Périmètre,Sources,Contact source/DG,Lien données source,Lien site source,Etat source,Fichier,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Objectifs 2030,Dernière mise à jour,Responsable SGPE,Version tdb,Prêt à publier,Statut recette,A supprimer de la V1,Commentaire suppression,Commentaire,ID Indicateur hub Ecolab
Part des autobus et autocars au GNV / BioGNV dans le parc roulant,6ae88ae7-ab3c-4a94-887c-ed720beeb835,Transports,Bus et cars,"Atténuation, Santé",34,Barres simple,,"Si l'utilisation de transports collectifs réduit en soi les émissions liées à la mobilité, la décarbonation des véhicules de transports passagers (bus et cars) permet néanmoins d'aller plus loin. L'indicateur représente la part des véhicules fonctionnant au gaz naturel / au biogaz dans le parc roulant
",Pourcents,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6833/download?inline,https://www.statistiques.developpement-durable.gouv.fr/donnees-sur-le-parc-automobile-francais-au-1er-janvier-2023,Lien seulement,,"2,8",mesuré,"2,9",mesuré,3,mesuré,"3,3",mesuré,"4,3",mesuré,"5,8",mesuré,"7,1",mesuré,"8,55",projection,10,cible,"10,2",projection,"10,4",projection,"10,6",projection,"10,8",projection,11,cible,SNBC run2 (AMS),2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Taux d'acquisition de véhicules à faibles émissions (Véhicules Electriques ou Véhicules Hybrides Recharegeables) dans l'administration,67ff8595-2447-4091-97e9-034eb06280bc,Transports,Etat exemplaire,"Atténuation, Santé",35,Barres simple,,"L'Etat se doit d'être exemplaire et de contribuer à l'électrification du parc. L'indicateur représente la part des véhicules électriques ou hybrides rechargeables dans les acquisitions annuelles de véhicules l'administration nationale.
",Pourcents,Hexagone et outre-mer,"source PPG, données CGDD rapportage SPE",,https://pilote.modernisation.gouv.fr/chantier/CH-155,,Lien seulement,,,mesuré,,mesuré,14,mesuré,39,mesuré,74,mesuré,24,mesuré,50,projection,50,projection,50,projection,70,cible,70,cible,,,,,,,,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part de marché de poids lourds GNV/ BioGNV dans les véhicules neufs,0423ed1e-013e-4d91-8d17-69f424f84618,Transports,Fret,"Atténuation, Ressources, Santé",36,Barres simple,,Le transport de marchandises est également une source importante d'émissions de gaz à effet de serre  et la réduction de ces émissions passe notamment par la décarbonation des moyens de transport correspondant. L'indicateur représente  la part des véhicules fonctionnant au gaz naturel / au biogaz dans les  véhicules neufs.,Pourcents,Hexagone et outre-mer,SDES,Cheffe du service des données et études statistiques (SDES) : beatrice.sedillot@developpement-durable.gouv.fr,,,Personne contact indiquée,,"1,8",mesuré,2,mesuré,"2,6",mesuré,"3,4",mesuré,"3,6",mesuré,"3,9",mesuré,"3,5",mesuré,"4,25",projection,5,cible,5,projection,5,projection,5,projection,5,projection,5,cible,SNBC run2 (AMS),2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Quantité de km-marchandises transportées ,49e727a9-2011-425b-a49e-0ad84378a1c3,Transports,Sobriété (fret),"Atténuation, Ressources",37,Barres simple,,"Pour  contenir la hausse des émissions du transport de marchandises, un premier levier évident est de réduire la quantité de marchandises transportées et/ou les distances sur lesquelles elles le sont. L'indicateur représente la quantité de kilomètres-marchandises transportées.

",Milliards de tonnes-kilomètres marchandises transportées,Hexagone ,"SDES, Bilan annuel des transports 2022 pour les années 2017 à 2022",,https://www.statistiques.developpement-durable.gouv.fr/media/6813/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"328,1",mesuré,"327,3",mesuré,"338,7",mesuré,"325,3",mesuré,"339,2",mesuré,338,mesuré,"337,7969858516",mesuré,"337,5939717033",projection,"337,3909575549",cible,"338,9724776684",projection,"340,553997782",projection,"342,1355178955",projection,"343,7170380091",projection,"345,2985581226",cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Consommation aux 100 km des poids lourds diesel,abab233e-952c-4b05-8d56-3fd73fad40d7,Transports,Efficacité (fret),"Atténuation, Santé",39,Barres simple,,"L'amélioration de l'efficacité des moteurs peut améliorer les émissions au kilomètre du transport routier. L'indicateur représente la consommation unitaire des poids lourds neufs (diesel) vendus.

",Litres pour 100 kilomètres,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6815/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"34,1",mesuré,"33,7",mesuré,"33,3",mesuré,33,mesuré,"32,9",mesuré,"32,6",mesuré,"31,2333333333",projection,"29,8666666667",projection,"28,5",cible,"28,2",projection,"27,9",projection,"27,6",projection,"27,3",projection,27,cible,SNBC Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part modale du transport ferroviaire dans le transport terrestre de marchandises,332f2a09-91a6-4674-a42d-debf59c03557,Transports,Report modal (fret),Atténuation,40,Barres empilées,,"La décarbonation du transport de marchandises passe aussi par une plus grande utilisation des moyens de transport moins émissifs que sont le train et la navigation fluviale. L'indicateur représente les parts modales de ces deux moyens de transport.
","Pourcents de kilomètres-marchandises parcourus (hors oléoducs).
",Hexagone ,"SDES, Bilan annuel des transports 2022 pour les années 2017 à 2022",,https://www.statistiques.developpement-durable.gouv.fr/media/6813/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"10,8145",mesuré,"10,343",mesuré,"10,011656861",mesuré,"9,622069775",mesuré,"10,5451901414",mesuré,"10,4370086164",mesuré,"9,7",mesuré,"11,7",projection,"13,8",cible,"14,64",projection,"15,48",projection,"16,32",projection,"17,16",projection,18,cible,SNBC Run2,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Part modale du transport fluvial dans le transport terrestre de marchandises,7e34337d-d323-4972-b13a-4cf7b57ac247,Transports,Report modal (fret),Atténuation,40,Barres empilées,,,"Pourcents de kilomètres-marchandises parcourus (hors oléoducs).
",Hexagone ,"SDES, Bilan annuel des transports 2022 pour les années 2017 à 2022",,https://www.statistiques.developpement-durable.gouv.fr/media/6813/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"2,29",mesuré,"2,22",mesuré,"2,3608449941",mesuré,"2,1481402914",mesuré,"2,1417781362",mesuré,"1,9503281746",mesuré,"2,1335521164",projection,"2,3167760582",projection,"2,5",cible,"2,6",projection,"2,7",projection,"2,8",projection,"2,9",projection,3,cible,SNBC Run2,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Véhicules lourds à hydrogène en circulation ,a0910a20-a591-4b18-940a-8a26d6981ece,Transports,Hydrogène,"Atténuation, Santé",41,Barres simple,,"Les moteurs à hydrogène constituent l'une des voies de décarbonation des véhicules lourds, et une perspective de développement pour le marché de l'hydrogène bas carbone.
L'indicateur représente le nombre de véhicules lourds (bus, cars, poids lourds, camions-bennes, etc.) à hydrogène en circulation en France.

",Nombre,Hexagone et outre-mer,"Source PPG, données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-059,,Lien seulement,,,,,,,,,,,,,,100,projection,250,projection,500,cible,"1275,2",projection,"2050,4",projection,"2825,6",projection,"3600,8",projection,4376,cible,Plan hydrogène + Cible PPE,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part des poids lourds électriques dans les immatriculations annuelles neuves,8656548b-d5e2-4aa4-aa31-8b8880eedbc7,Transports,Electrification (fret),"Atténuation, Santé",42,Barres simple,,"Le transport de marchandises est également une source importante d'émissions de gaz à effet de serre , et la réduction de ces émissions passe notamment par la décarbonation des moyens de transport correspondant. L'indicateur représente  la part des véhicules électriques dans les ventes annuelles de poids lourds neufs.",Pourcents,Hexagone et outre-mer,"SDES, Bilan annuel des transports 2022 pour les années 2017 à 2022",,https://www.statistiques.developpement-durable.gouv.fr/media/6815/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,0,mesuré,0,mesuré,"0,1",mesuré,"0,1",mesuré,"0,2",mesuré,"0,4",mesuré,"1,3",mesuré,6,cible,14,cible,18,projection,23,projection,31,projection,40,projection,46,cible,Objectif Réunion PM,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Part des poids lourds électriques dans le parc roulant,93d8c3d7-4d30-4c26-be0a-80a32d7a5ac4,Transports,Electrification (fret),"Atténuation, Santé",43,Barres simple,,"Le transport de marchandises est également une source importante d'émissions de  gaz à effet de serre , et la réduction de ces émissions passe notamment par la décarbonation des moyens de transport correspondant. L'indicateur représente  la part des véhicules électriques dans le parc roulant de poids lourds.
",Pourcents,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6837/download?inline,https://www.statistiques.developpement-durable.gouv.fr/donnees-sur-le-parc-automobile-francais-au-1er-janvier-2023,Lien seulement,,"0,0201661544",mesuré,"0,0211258727",mesuré,"0,0235563241",mesuré,"0,0224536941",mesuré,"0,0224536941",mesuré,"0,0224536941",mesuré,"0,1",mesuré,"1,05",projection,2,cible,4,projection,6,projection,8,projection,10,projection,12,cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Part des véhicules utilitaires légers électriques dans les immatriculations annuelles neuves,b0fe265c-0934-4c4d-8105-9ddf8e090ffe,Transports,Electrification (fret),"Atténuation, Santé",44,Barres simple,,"La nécessaire décarbonation de la mobilité concerne également les véhicules utilitaires, et là aussi l'électrification est un des leviers permettant d'y parvenir. L'indicateur représente la part des véhicules électriques dans les ventes de véhicules utilitaires légers neufs de l'année.
",Pourcents,Hexagone et outre-mer,"SDES, Bilan annuel des transports 2022 pour les années 2017 à 2022",,https://www.statistiques.developpement-durable.gouv.fr/media/6815/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"1,3",mesuré,"1,7",mesuré,"1,629556803",mesuré,"2,1755232986",mesuré,"2,7903997843",mesuré,"4,7",mesuré,"7,7",mesuré,"12,2",projection,"16,7",cible,"23,56",projection,"30,42",projection,"37,28",projection,"44,14",projection,51,cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Part des véhicules utilitaires légers électriques dans le parc roulant,5ba4402c-710d-40c7-93a5-046fedfefe0d,Transports,Electrification (fret),"Atténuation, Santé",45,Barres simple,,"La nécessaire décarbonation de la mobilité concerne également les véhicules utilitaires, et là aussi l'électrification est un des leviers permettant d'y parvenir. L'indicateur représente la part des véhicules électriques dans le parc roulant de véhicules utilitaires légers.",Pourcents,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6841/download?inline,https://www.statistiques.developpement-durable.gouv.fr/donnees-sur-le-parc-automobile-francais-au-1er-janvier-2023,Lien seulement,,"0,4",mesuré,"0,5",mesuré,"0,6",mesuré,"0,7",mesuré,"0,8",mesuré,"0,9",mesuré,"1,2",mesuré,"2,1",projection,3,cible,"5,2",projection,"7,4",projection,"9,6",projection,"11,8",projection,14,cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Trafic aérien France,ae8eeff9-2f68-45db-b3f8-853b1a284f63,Transports,Aérien,"Atténuation, Ressources",46,Barres simple,,"S'il représente, pour la plupart des Français, une part relativement modeste de leurs émissions personnelles, l'avion représente le mode de transport le plus émissif et la modération du transport aérien est un levier important de la transition. L'indicateur représente le trafic aérien en France, incluant tous les trajets domestiques et la moitié des trajets à destination de et en provenance de l'international. 
",Milliards de passagers-kilomètres transportés,Hexagone et outre-mer,Bulletins annuels DGAC,,https://www.ecologie.gouv.fr/sites/default/files/publications/Bulletin_Statistiques_trafic_aerien_2023.pdf,https://www.ecologie.gouv.fr/politiques-publiques/statistiques-du-trafic-aerien,Lien seulement,,"212,2508708985",mesuré,"226,469400424",mesuré,"236,8",mesuré,"74,1",mesuré,"89,4",mesuré,"188,44",mesuré,"223,97",mesuré,"251,9",cible,"263,7",cible,"266,4",cible,"269,4",cible,273,cible,276,cible,"280,4",cible,Cible SNBC run,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions unitaires / passager (aérien),eeb63fcd-0317-4885-a5ed-a71950dd20fc,Transports,Aérien,"Atténuation, Santé",47,Barres simple,,"Si la modération du transport aérien est essentielle pour permettre de diminuer les émissions du secteur, l'efficacité des avions est également un levier important. L'indicateur représente les émissions unitaires par passager. 
",Kilogrammes de CO2 par kilomètre-passager transporté.,Hexagone et outre-mer,DGAC,,https://www.ecologie.gouv.fr/sites/default/files/publications/Bilan_Emissions_Gazeuses_2021_trafic_aerien_france.pdf,https://www.ecologie.gouv.fr/politiques-publiques/emissions-gazeuses-liees-trafic-aerien,Lien seulement,,"79,6",mesuré,"78,7",mesuré,"78,9",mesuré,"83,5",mesuré,84,mesuré,"82,206",mesuré,"80,412",projection,"78,618",projection,"76,824",projection,"75,03",projection,"73,236",projection,"71,442",projection,"69,648",projection,"67,854",cible,Objectif run 2 SNBC : -14% d'ici 2030 par rapport à 2019,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2022 doit apparaître en projection,
Taux d'incorporation en énergie de carburants aériens durables,660dfc7c-1ce5-49b6-9138-bfb8cba0f31c,Transports,Aérien,"Atténuation, Ressources",48,Barres simple,,"Les carburants durables, c'est-à-dire produits à partir de biomasse et d'énergie décarbonnée, représentent une des voies de réduction des émissions de l'aviation. L'indicateur représente le taux d'incorporation de tels carburants durables dans le carburant consommé par l'aviation dans l'année.
",Pourcents par an,Hexagone et outre-mer,"source PPG, données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-047,,Lien seulement,,,,,,0,mesuré,0,mesuré,0,mesuré,1,mesuré,1,mesuré,,,,,,,,,,,,,6,cible,"Cible SNBC run 2 : le recours aux carburants alternatifs durables dans l’aérien croît à 6% en 2030 et 20% en 2035, aligné avec le règlement européen RefuelEU.",2024-08-02 3:19pm,,Existant,true,true,false,,,
